Titre,Année de publication,Pages,Nombre de lecteurs,Note moyenne,Genres
The Four Winds,2021,464,828676,4.3,"['Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'Adult', 'Adult Fiction', 'Book Club', 'great-depression', 'historical-fiction', '2021', 'arc', 'historical', 'arc', 'favorites', 'netgalley', 'edelweiss-reviews', 'netgalley-reviews', 'family-drama', 'historical-fiction', 'netgalley', 'arc-copy', 'hard-hitting-topics', 'historical-fiction', '5-star-books', 'adult', 'all-time-favorites', 'historical-fiction', 'literature', 'favorites', 'literary-fiction', 'netgalley', '2021', '2021-favourites', 'traveling-sister-read', 'netgalley-arc', 'on-my-kindle', 'historical-fiction', 'netgalley', '1-star', 'netgalley', 'netgalley', '2021', 'historical-fiction', '2021', 'audiobooks', 'historical-fiction']"
Remarkably Bright Creatures,2022,368,896055,4.38,"['Fiction', 'Audiobook', 'Contemporary', 'Mystery', 'Magical Realism', 'Literary Fiction', 'Book Club', 'everyone-loved-it-but-me', 'i-read-it-wrong', 'i-suck-turtles', 'audiobooks', 'audiobook-from-netgalley', 'general-fiction', 'fiction', '2022-favorite-reads', 'arc-edelweiss-plus', 'audio', 'hoopla-libby', '2022-3k-book-a-thon', 'audiobook', 'fiction', 'audio', 'best-of-2022', 'book-clubs', '2022-reads', 'buddy-read-with-marialyce', 'fiction', 'fiction', 'in-my-home-library', 'listened-on-audio', 'faves', 'unique-and-interesting', '4-5-stars', 'cute-cover', 'feel-good', 'adult-fiction', 'domestic-fiction', 'literature', 'beach-read', 'buddy-read', 'magical-realism', 'favorites']"
Under the Whispering Door,2021,376,280073,4.13,"['Fantasy', 'Fiction', 'Romance', 'LGBT', 'Audiobook', 'Queer', 'Adult', 'review-copy', 'lgbtq', 'm-m', 'ranking', '2021', 'made-me-cry', 'mine', 'adventure', 'diversity', 'fantasy', 'arc-physical-copy', '2021', 'from-publisher', 'mystery-book-club', '2021-reads', 'arcs', 'e-books', 'giveaways', 'own', 'contemporary-fiction', 'ebooks', 'fantasy', 'cried-like-a-baby', 'gifted', 'i-am-looking-respectfully', 'arc', 'netgalley', 'pride-reads', '3-stars', 'audio', 'beautiful-cover', 'netgalley', '2021', '2021-netgalley-challenge', '5-star', 'owned-library', 'ghosts-spirits', 'lgbtq-lit', 'little-to-no-sex-content', 'audio', 'netgalley']"
Heartstopper: Volume Three,2020,384,476500,4.55,"['Graphic Novels', 'LGBT', 'Young Adult', 'Queer', 'Contemporary', 'Comics', 'Fiction', '2020-favorites', 'gae', 'i-wanna-believe-in-romance', 'want-to-own', '3-stars', 'diverse', 'eh', 'nuevo-curso', 'contemporary', 'fav', 'graphic-novel', 'graphic-books-comics', 'queer', 'five-stars', 'read-2020', 'read-2022', 'lgbtqiap', 'lidos-2022', 'owned', 'queer', 'favorites', '5-star-books', 'contemporary', 'favorites', 'young-adult', '2020-reads', '2022-reads', 'lgbtq', 'cotton-candy-fluff', 'mangas-webtoons-graphic-novels', '0-re-reads', '1-favorite-series', '1-favorite-ya', 'age-ya', 'favorites-i-think', 'genre-realistic-fiction', '2020-release', 'graphic-novels', 'owned-physical', '2020-books', '2022-books', '2023-books']"
American Dirt,2020,459,632920,4.37,"['Fiction', 'Audiobook', 'Contemporary', 'Historical Fiction', 'Book Club', 'Thriller', 'Literary Fiction', 'contemporary-literary', '2020', 'american', 'group-read', '2020-reads', 'buddy-read-with-marialyce', 'mystery-thriller', 'adult-reads', 'advanced-reader-copies', 'audiobooks', 'i-came-i-saw-i-yeeted', 'literary-fiction', 'poc-interracial', 'or_you_could_read', '2020-favourites', 'favorites', '2019', 'contemporary', 'fiction', '5-star-favourites', 'mexico']"
Carrie Soto Is Back,2022,384,621980,4.2,"['Fiction', 'Historical Fiction', 'Audiobook', 'Contemporary', 'Romance', 'Sports', 'Adult', 'fab-fours-౨ৎ', 'favorites', '2022', 'arc', 'featured', 'favourites', '3-and-a-half-stars', 'eh', 'historical', 'adult', 'adult-fiction', 'badass-female-mc', 'netgalley', '2023', 'exceeded-expectations', '2022-releases', '2023-reads', 'adult', '2022-books', 'books-coming-to-movie-or-tv-series', 'netgalley', 'favorites', 'sports-romance', 'contemporary', 'fav', 'made-me-cry', '2022', '2022-5-stars', 'arcs', 'favs', '0-in-my-library-read', '0-top-reads-of-2022', '4-stars', '4-stars', 'netgalley', '2023', 'literary-fiction', 'audio', 'hoopla-libby']"
Crying in H Mart,2021,239,513746,4.25,"['Memoir', 'Nonfiction', 'Audiobook', 'Biography', 'Food', 'Biography Memoir', 'Grief', 'autobiography', 'depressing', 'every-unhappy-family', '5-stars', 'authors-of-color', 'diverse', '2022', 'arc', 'better-than-words', 'nonfic', 'no-white-authors-2021', 'writers-asian', 'audiobook', 'favorites', '2024', 'nonfiction', 'food', 'grief-bereavement', 'memoir', '2021-reads', 'edelweiss', 'memoir', 'biography-or-memoir', 'first-reads', 'nonfiction', 'east-asian-literature', 'fiction', 'in-my-home-library', 'bts-read', 'nonfiction', 'read-in-2023', 'covers-id-die-for', 'crying-brb', 'memoirs', 'a-must-read-recommendation', 'best-asian-books']"
Mexican Gothic,2020,320,401998,3.67,"['Horror', 'Fiction', 'Historical Fiction', 'Gothic', 'Mystery', 'Fantasy', 'Thriller', 'adult', 'adult-historical', 'adult-horror', 'book-subscriptions', 'bookstagram-made-me-do-it', 'favorites', 'adult', 'fantasy', 'fiction', 'botm', 'absolutely-not', 'botm', 'lil-spooky', '2020-releases', 'audiobooks', 'mystery-thriller-horror', '2020', 'four-stars', 'read-2020', '4-stars', 'authors-of-color', 'diverse', '2020-releases', 'fantasy', 'historical', 'audiobook', 'published2020', 'gothic', 'horror', 'mexico', '2020', 'e-book', 'gothic', 'latine', 'review-requested', 'adult', 'buddy-reads', 'dark', 'audio', 'hoopla-libby', 'about-poc', 'arcs', 'mystery-thriller-horror', '2020-reads', 'hugo-nebula-nominees-and-winners', 'locus-winner']"
Divine Rivals,2023,357,612891,4.17,"['Romance', 'Young Adult', 'Romantasy', 'Fiction', 'Audiobook', 'Enemies To Lovers', 'Historical Fiction', 'i-bleed-this-book', 'fab-fours-౨ৎ', 'owned-books', 'severe-brainrot', 'favorites', 'favorites', 'kindle-unlimited', 'favourites', 'fantasy-romance', 'favorites-2023', 'favs', '2023-reads', 'books-i-own', '4-stars', 'fantasy', 'pain', 'cherished', 'heart-locket', 'tears', '2023-books', 'buddy-read', 'comfort-reads']"
The Thursday Murder Club,2020,382,617113,3.87,"['Mystery', 'Fiction', 'Crime', 'Audiobook', 'Mystery Thriller', 'Thriller', 'Contemporary', 'crime-fiction', 'humour-comic-fiction', 'mystery', 'favorite-series', 'mystery', 'not-really-a-thriller', 'audible', 'audio', 'crime', 'hoopla-libby', 'overdrive', 'audiobooks', 'crime-mystery-thriller', 'illness-mental-terminal', 'tear-jerker', 'adult', 'bookclub', 'crime', 'mystery-thriller', '2022-mount-tbr-challenge', 'british', 'mystery', 'lidos-2021', '2021-favorites', 'cozy-mystery', 'enjoyed-the-characters', 'adventure', 'audiobooks', 'crime', 'buddy-read', 'dnf', 'audio', 'best-of-2020', 'library', '2021', '5-star', 'contemporary-fiction', 'buddy-read', 'cozy', 'humor', 'mystery', 'represent']"
