Titre,Année de publication,Pages,Nombre de lecteurs,Note moyenne,Genres
Water for Elephants,2006,368,1664879,4.11,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'audiobook', 'owned', 'a-the-best', '2012-reads', 'i-also-saw-the-film', 'reviewed', '2008', 'general-fiction', 'historical-fiction', 'dark', 'hard-hitting-topics', 'historical-fiction', 'english', 'contemporary-fiction', 'kat-s-book-reviews', 'contemporary-literature', 'canadian-author', 'general-fiction', 'historical-fiction', 'historical-fiction', 'adult', 'audiobooks', 'favorites', '2-star', 'year-2017', 'fiction', 'fiction', 'historical', 'love-story', '2020-tome', 'general-fiction', 'book-discussion-perfect', 'compelling', 'creates-questions', 'my-favorite-books', 'tear-jerkers']"
Life of Pi,2001,460,1698014,3.94,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Magical Realism', 'Novels', 'Literature', 'literature', 'religion', 'gave-up', 'fantasy', 'magical-realism', 'reviewed', 'adapted', 'animals', 'favorites', 'favourites', 'audiobook', 'book-club', 'classics', 'favorites', 'fiction', '4-star-reads', 'magical-realism', 'man-booker-prize-winners', '2013', 'india', 'seen-movie', 'action-adventure', 'canadian-authors', 'adventure-and-or-travel-books', 'novels_novellas', 'spirituality', 'animals', 'high_sea_adventure', 'man_booker_prize', 'fantasy-let-it-be-your-fantasy', 'fiction', 'english', 'cruel-or-capricious-nature', 'fiction', 'own', 'coming-of-age', 'contemporary-fantasy', 'escapism', 'readandreviewed', 'coming-of-age', 'delicious-writing', 'epic-reads']"
The da Vinci Code,2003,489,2441878,3.93,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure', 'tripeshitandgarbage', '400-499-pp', 'author-american', 'genre-mystery', 'brown-dan', 'america', 'contemporary-fiction', 'novel', 'historical', 'thriller', 'أدب', 'أديان', 'تاريخ', '2000-2005', 'audiobook', 'conspiracies-and-weird-science', 'thrills-spills-kills-oh-my', 'fiction', '1-fiction', '3-multi-book-series', '5-favorite-books', 'don-t-read-it', 'hahahahahaaarrrrrgh', 'monster-mash-of-a-mess', 'dont-own', 'total-crap', 'dan-brown', 'adventure', 'american-literature', 'e-1', 'female-divinity', 'action-adventure', 'fiction', 'thriller', 'americana', 'thriller', 'audiobook', 'book-group', 'fiction']"
The Lovely Bones,2002,372,2419633,3.86,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Thriller', 'Crime', 'bookclub', 'garbagestbooksever', 'mystery-thriller', 'young-adult', 'read-in-2017', 'wintery', 'movie-series-seen-first', 'so-sad-so-amazing', 'stand-alone', '2008', 'better-than-chick-lit', 'ghost-fiction', 'paranormal', 'suspense-thriller', 'americana', 'bbc-big-read', 'i-own', 'audiobook', 'book-group', 'coming-of-age', '2008', 'read-in-2007', 'favorites', 'own', 'suspense-thriller', 'jens-personal-read', 'trt-posted-reviews', 'fiction']"
The Road,2006,241,972108,3.99,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Horror', 'Literature', 'Novels', 'america', 'fiction', 'novel', '2009-reads', 'none-too-good', 'oprah', '200-299-pp', 'author-american', 'genre-literary-fiction', 'bad-books', 'not-worth-it', 'cormac', 'read-2015', 'reviews', '4-star-reads', 'contemporary-lit', 'darkness-horror-gothic', 'pulitzer-prize-winners', 'dystopia', 'fantasy-sf', 'pulitzer-winners', 'best-sellers-that-suck', 'not-for-kids', 'unfulfilled-expectations', 'favorites', 'dystopian-apocalyptic', 'family-parenting', 'film-good-or-better-than-book', 'audiobook-audible', 'author-american', 'genre-literary-fiction', 'horror', 'fiction', 'american-literature', 'cormac-mc-carthy', 'e-5', 'americana', 'physical-copy', 'apocalyptic', 'beautiful-poetic', 'dark', '2021', 'best-books-ever', 'books-loved-2014', 'cli-fi-class-spr-18', 'favorites', 'literary-fiction', '2013', 'seen-movie', 'usa']"
The Curious Incident of the Dog in the Night-Time,2003,226,1542975,3.89,"['Fiction', 'Mystery', 'Young Adult', 'Classics', 'Autistic Spectrum Disorder', 'Novels', 'Contemporary', 'british', 'readit', 'and-so-this-is-grad-school', 'books-everyone-loves-but-me', 'phenomenal', 'read-pre-goodreads', 'fiction', 'autism-maybe', 'crime-detective-mystery', 'miscellaneous-fiction', 'library-book', 'young-adult', 'disliked', 'random-lit', 'letdowns', 'owned-in-english', 'disability', 'great-britain', 'kids', '2020', 'completist-book-club', 'favorites', 'mystery-its-a-mystery', 'novels_novellas', 'psychology', 'حالات-متفردة', '2022-reads', 'literature-united-kingdom-ireland', 'mental-health', '2008', 'unpopular-opinion', '2000-09', '2021', '3-star', 'award-winner', 'booker-prize-nominee', 'contemporary', 'fiction', '2018-book-challenge', '5-star-books', 'english-calssics', 'داستان-خارجی', 'کودک-و-نوجوان']"
The Secret Life of Bees,2001,302,1325086,4.1,"['Fiction', 'Historical Fiction', 'Classics', 'Young Adult', 'Historical', 'Contemporary', 'Coming Of Age', 'a-the-best', 'fiction', 'in-my-home-library', 'fiction', 'thought-provoking', 'book-club-popular-fiction', 'popular-fiction', '2021', 'audiobooks', 'fiction', 'debut-novels', 'recommended', 'coming-of-age', 'debut', 'gift-from-gr-friend', 'historical', 'not-worth-the-time', 'vagina-soliloquies', 'fiction', 'coming-of-age', 'read-in-2010', 'reviewed', '2020-favourites', 'public-library', 'am-i-taking-crazy-pills', 'reviewed-by-yt', 'southern-us', 'award-various', 'classic', 'favorite', 'favourites', 'historical-fiction', 'sisters', 'book-discussion-perfect', 'creates-questions', 'educating-moments']"
Middlesex,2002,529,651736,4.04,"['Fiction', 'Historical Fiction', 'Contemporary', 'LGBT', 'Classics', 'Literary Fiction', 'Queer', '2016', 'contemporary', '2011', 'for-kindle', 'reviewed', 'favorites', 'american-21st-c', 'fiction', 'novels', '2011', 'award-pulitzer', 'event-met-author', 'historical-fict-20th-cent', 'identity', 'miscellaneous-fiction', 'book-i-own', 'chunksters', 'contemporary-literary', 'diverse', 'historical', 'lgbt-plus', '2017', 'american', 'literary-fiction', '2002', 'i-said', 'lod', 'prize-winners', '5-stars', 'chunkster', 'historical-fiction', 'american-literature', 'e-5', 'english-editions', 'historical-fiction', 'literary-fiction', '2016', 'greece', 'usa', 'awards-and-accolades', 'emotional-gut-punch', 'fiction', 'audiobook', '1001', 'berlin', 'pulitzer-winners', 'contemporary', 'fiction-general', 'fiction', 'historical-fiction', 'all-time-favorites', 'kids-and-young-adult', 'the-list']"
The Lightning Thief,2005,377,3255670,4.31,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology', 'action', 'children', 'gary-stu', 'fangirling-over', 'favourite-heroes', 'movie-tie-in', 'fantasy', 'harry-potter-alternative', 'middle-grade', 'favorites', '5-star', 'ebook', 'fantasy', '2020', '300-399-pp', 'author-american', 'genre-folklore-myth', '2014', 'fantasy', 'young-adult', 'adapted', 'fantasy', 'favorites', 'greek-mythology', 'adventure', 'children-s', 'fantasy-mythology', 'audiobook-audible', 'author-american', 'genre-folklore-myth', 'favorites', 'favorites-fiction', 'books-i-always-recommend', 'favorites', 'zoes-comfort-books', 'fantasy-series', 'fantasy', 'middle-grade', 'read-in-2020', 'humor-and-comedy', 'riordan-rick', 'fantasy', 'mythology', 'on-app', 'favorites', 'action', 'adventure', 'fantasy', 'favourite-friendships', 'gangs-i-want-to-join', 'need-to-re-read', '2010', 'books-i-own', 'books-made-into-movies', '2010-2016', 'all-time-fav', 'cover']"
Harry Potter Series Box Set,2007,4100,296759,4.73,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Classics', 'children', 'mentions-twilight', 'pooh-dante', 'character', 'classics', 'fantasy', '5-star-reads', 'children-of-all-ages', 'fantasy', '5-stars', '5-stars-complete', 'fav-heroine', 'all-time-favorites', 'fantasy', 'kids-and-young-adult', 'favorites', 'horror', 'magic', '2011-reads', 'audiobooks', 'books-to-movie', 'changed-my-life', 'classics', 'death', '1-favorites', 'f-read-fantasy', 'favorites', 'k-read-kids', 'favorites', 'favorites', 'all-time-favorites', 'children-s', 'worldbuilding', 'en-papel', 'literatura-moderna', 'novelas-fantásticas', 'next-level', 'children-s', 'drama', 'fantasy-and-magic', 'finished-series', 'jk-rowling', 'literature', 'all-time-favorites', 'read-with-luke', 'fantasy-science-fiction', 'completed-series', 'cried', 'favorites-2018']"
My Sister’s Keeper,2004,423,1253159,4.1,"['Fiction', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'least-favorite-of-all-time', 'pearl-ruled', 'medicine', 'a-the-best', 'chick-lit', 'disappointing', 'reviewed-books', 'fiction-drama', 'hated', 'literary-fiction', 'buddy-read', 'top-reads-for-2020', 'book-discussion-perfect', 'captivating', 'compelling', 'fiction', 'on-my-bookshelf', 'highly-recommended', '5-stars', 'romance', 'adult', 'annoying-main-characters', 'emotionally-manipulative', 'english', 'favorite-authors', 'favorites', '2018', 'fiction', 'favorites', 'general-fiction', 'banned', 'drama', 'hospital-drama', 'sofarin2007', 'read-in-german', 'cancer', 'favorites', 'k']"
The Glass Castle,2005,288,1295083,4.32,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Audiobook', 'Book Club', 'classic-or-cannonical', 'do-not-judge-by-the-cover', 'favorites', '2016', 'memoirs-or-bios', 'nonfiction', 'bookclub', 'memoir', 'nonfiction', '2017', 'audio', 'biography', 'book-club', 'favorites', 'memoir-biography', 'ala-notables', 'book-club', 'don-t-believe-the-hype', 'new-york-state-of-mind', 'absolute-crap', 'biography-biographical', 'memoir', 'alcohol', 'favourites', 'library-penrith', '2023', 'bio-memoir', 'book-club', 'american-appalachia', 'favorites', 'memoir', '2012', 'blogophilia', 'head-in-the-clouds-nose-in-a-book', '2017', 'alcohol-drugs', 'arizona', 'read-and-liked-it', 'non-fiction', 'audiobook', 'memoir']"
Breaking Dawn,2008,756,1799905,3.75,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', 'ya', '1-star', 'fantasy', 'nope', 'i-m-your-barbie-girl', 'i-spy-something-pointy', 'not-worth-the-hype', 'chick-lit', 'fantasy', 'romance', 'modern-fantasy', '5-star-book', 'books-i-own', 'favorites', 'boring', 'disturbing', 'physical-copies', 'dumpster-fire', 'no-god-please-no', 'romance-books', '2008', 'paranormal', 'romance', 'five-star-reads', '2018', 'fantasy', 'finished-series', '2020', '2021', '2022', '2017', 'audience-young-adult', 'bipoc-narrator', 'ya', 'audiobook', 'books-i-own', 'books-read-in-2020']"
Atonement,2001,351,541977,3.95,"['Fiction', 'Historical Fiction', 'Classics', 'Romance', 'Historical', 'War', 'Literary Fiction', 'if-research-were-romance', 'too-sexy-for-maiden-aunts', 'favorites', 'fiction', 'best-reads-2023', 'favorites', '2017', 'bloody-cack', 'bookshelf', 'favorites-of-all-times', 'historical-fiction', 'read-years-ago', 'coming-of-age', 'family-dynamics', 'human-emotions', 'english', 'fiction', 'historical-fiction', 'audiobooks', 'british-charm', 'favorites', 'british', 'family-drama', 'favourites', 'contemporary-fiction', 'desert-island', 'favorites', 'historical', '2016', 'completist-book-club', 'favorites', 'cafeteria-isla-perdida-3', 'favorites', 'perfect-ending', 'favorites', 'maybe-future-re-read', 'the-british-invasion', 'war-is-hell', 'five-star-books', '21st-century', 'booker', 'contemporary-british-fiction']"
Eclipse,2007,629,1912539,3.73,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', '1-star', 'fantasy', 'nope', 'modern-fantasy', 'audiobook', 'smotherings', 'why-yes-i-ya', 'fantasy-all', 'own', 'paperback-own', 'five-star-reads', 'paranormal-romance', 'ded-brain-cells', '2016', 'fantasy', 'finished-series', 'paranormal', 'stephenie-meyer', 'young-adult', '1-star', 'year-2018', '2020-audio', '2020-ya-challenge', 'fantasy', 'on-my-shelf', 'paranormal', 'dumpster-fire', 'no-god-please-no', 'romance-books', '2020', '2021', '2022', 'ya', 'children', 'mentions-twilight', 'older-men-younger-women', 'young-adult', 'cheese-sandwich', 'cool-tittle', 'cover-love']"
The Shadow of the Wind,2001,487,679485,4.3,"['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Historical', 'Spain', 'book-club', 'favorites', 'historical-fiction', 'favorites', 'favorites', 'thriller', 'novels', 'own', 'fiction-serious-adult-stuff', 'romance', 'favorites', 'my-little-library', 'adult', 'adult-historical', 'adult-thriller-mystery', '2022', 'favourites', 'favorites', 'for-magic', 'paused', '2016-reads', 'genre-historical', 'coming-of-age', 'human-cruelty', 'human-imagery', 'classics', 'favorites', 'owned', 'translated', 'adult', 'audiobook', 'fiction', '2015', 'book-a-book-club', 'coming-of-age', '1-and-a-half-stars', 'authors-of-color', 'dark-academia', '0-favorites', 'fiction-europe-spain-portugal', 'best-reads-2022', 'favorites', 'favourites-modern-classics', 'favorites', 'favs-of-2019', 'made-me-cry', '2021', 'group-read', 'romance', 'barcelona', 'fiction', 'spain']"
Angels & Demons,2000,736,3306544,3.95,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Crime', '500-599-pp', 'author-american', 'genre-mystery', 'brown-dan', 'fiction', 'thriller', '2-star-reads', 'mystery-crime-and-thrillers', 'mystery-its-a-mystery', '1-fiction', '3-multi-book-series', '2013', 'homework-from-the-ladies', 'fiction', 'italy', 'best-of-the-best', 'completed-series', 'favorites', 'mystery', 'chunkster', 'page-turner', 'popular', 'audiobook', 'from-words-to-screen', 'own']"
American Gods,2001,635,968249,4.11,"['Fantasy', 'Fiction', 'Mythology', 'Urban Fantasy', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy', '2018-finer-books-club-reading-chall', 'audiobook', 'all-time-favorites', 'my-library-audio', 'my-library-hardcover', 'disappointing', 'e-books', 'z-2012-reads', '2007', 'english', 'fantasy', 'book-to-re-read', 'classics', 'faves', '400-499-pp', 'author-british', 'genre-adult-fantasy', '2016', 'audio', 'completist-book-club', '1-star-reads', 'fantasy', 'magical-realism', 'fantasy', 'weird-fiction', 'all-time-most-favorite-books', 'audio', 'libby-app', 'mythology', 'audiobook-audible', 'author-british', 'genre-adult-fantasy', 'fantasy', 'horror', 'myth', 'gaiman-neil', 'fantasy', 'fiction', 'united-states', 'fantasy', 'favorites', 'audiobook', 'owned', 'contemporary-fiction', 'kat-s-book-reviews', 'the-great-shelf-of-meh', 'awards-of-all-sorts', 'fantasy', 'meh', 'big', 'fantasy-sf', 'urban-fantasy-pr', '3-stars', 'eh', 'fantasy', '2000-2005', '6-star-books', 'all-time-favorites', 'fantasy-faeries-magic', 'identity', 'roadtrips-and-travel', '2011-reads', '2020-reads', 'hugo-nebula-nominees-and-winners', 'fantasy', 'novels_novellas', 'thriller_horror_mystery_sci-fi']"
New Moon,2006,563,2037742,3.61,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', '2008-reads', '2011-reads', 'ahhhhh-my-eyes', 'audiobook', '2-stars', 'eh', 'fantasy', 'bad-imagery', 'bad-writing', 'books-to-movies', 'annoying-mc', 'boring', 'disturbing', 'ded-brain-cells', 'own', 'paperback-own', 'young-adult', 'why-yes-i-ya', 'children', 'mentions-twilight', 'older-men-younger-women', 'owned', 'five-star-reads', '2020', '2021', '2022', 'desert-island-keepers', 'fantasy', 'favorites', 'teen', 'trashy', 'fantasy-urban', 'mary-sue', 'reviewed', 'dumpster-fire', 'no-god-please-no', 'where-is-the-flavour', 'romantic-slurpy-slurps', 'desert-island-keepers', 'paranormal-romance', 'read-2008', '2020-audio', '2020-ya-challenge', '2025-audio', 'books-i-own', 'books-read-in-2020', 'ya-paranormal', 'books-i-own-and-have-read', 'female-pov', 'series']"
City of Bones,2007,485,2095348,4.07,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires', 'angels', 'annoying-character', 'asshole-hero', '2009', 'tres-annoying', 'urban-fantasy', 'books-made-into-movies', 'fantasy', 'paranormal', 'books-that-deserve-painful-death', 'just-plain-bad', 'kat-s-book-reviews', '2019', '2022', 'audiobook', 'urban-fantasy', 'young-adult', 'fantasy', 'on-app', 'romance', '1-star', 'fantasy', 'theme-trauma-abuse-recovery', 'failed-romance', 'misplaced-hype', 'one-questionable-character', 'audiobook', 'fae', 'favorites', 'paranormal', 'angels', 'demons', 'fae', 'favorites', 'boooooring', 'dont-understand-why-its-hyped', 'get-that-thing-away-from-me', 'fantasy', 'owned', 'favorite-female-characters', 'memorable-male-characters', 'paranormal', 'punching-tour', 'reviewed', 'young-adult']"
The Host,2008,619,1032036,3.86,"['Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Fiction', 'Dystopia', 'Paranormal', 'sf', 'absolute-favorites', 'audiobook', 'sci-fi', 'beloved', 'favorites', 'great-books', 'chick-lit', 'romance', 'sci-fi', '2018-reading-challenge', 'aliens', 'dystopia-and-utopian', 'favourites', 'love-this-heroine', 'science-fiction', '2008', 'sci-fi', '2014', 'kindle', 'own', '2009', 'tres-annoying', 'why-the-hype', 'dystopia', 'favorites', 'hate-to-love', '2011', 'borrowed', 'favorites', 'age-young-adult', 'be-my-heroes-please', 'cut-my-heart-out', '2021-audio', 'dystopian', 'favourite-books', 'love-triangle', 'all-time-favorites', 'chat-gpt', 'life-is-proust', 'science', '2008-reads', 'favorites', 'best-of-the-best', 'books-i-recommend', 'chick-lit', 'favorite-books', 'owned', 'young-adult']"
The Girl Who Played With Fire,2006,503,954825,4.26,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook', '2009', '5-star-reads', 'mystery-thriller', '500-599-pp', 'author-nordic', 'format-translated', 'favorites', 'feminism-and-strong-women', 'mystery-crime', '2012-reads', 'awesome-kickass-heroines', 'i-also-saw-the-film', 'mystery', 'popular-culture', 'swedish-lit', 'nordic-noir', 'this-book-tho', 'nordic-noir', 'own', '2010', 'all-time-favorites', 'contemporary', 'crime', '1-fiction', '3-multi-book-series', '2012', 'crime-and-mystery', 'owned', 'mystery-crime', 'read-authors-i-l', 'older-women-younger-men', 'swedish-norwegian-and-danish', 'too-sexy-for-maiden-aunts', 'blog', 'kick-ass', 'lgbtq', 'bleak-thriller', 'books-everybody-loves-but-me', 'meh']"
The Five People You Meet in Heaven,2003,196,760912,4.0,"['Fiction', 'Contemporary', 'Inspirational', 'Fantasy', 'Classics', 'Spirituality', 'Adult', 'favorites', 'novel', 'contemporary-recent', 'favourites', 'magical-realism', 'religion-spirituality', '1-fiction', '3-multi-book-series', 'fiction', 'medium', 'my-view', 'english', 'quarter1', '2006-reads', 'own', 'general-novels', 'buzzword-read-a-thon', 'favorites', 'june-2019', 'general-fiction', 'philosophy', 'favorites', 'inspirational', 'mitch-albom', 'grief', 'something-different', 'indonesian', 'novelia']"
Extremely Loud & Incredibly Close,2005,326,428827,3.97,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Adult', 'Adult Fiction', 'cultured', 'favorite-authors', 'gmba', 'audio', 'read-in-2010', '3-and-a-half-stars', 'beautifully-written', 'literary-fiction', 'novels', 'adult', 'retro-challenge', 'american', 'contemporary', 'all_time_favs', 'literary-fiction', '9-11-2001', 'childhood', 'childhood-vicarious-trauma', 'paused', 'unfinished', 'disappointing', 'reviewed', 'year-2013', 'as-movies', 'death', '2011', 'for-kindle', 'reviewed', 'favorites', 'fiction', 'also-saw-the-movie-docu-or-series', 'owned-in-english', 'this-is-america', 'classic-or-cannonical', 'favorites', 'influenced-me', '2015', 'drama', 'family-drama', 'given-away', 'read-in-2015', 'ادبیات-آمریکا', 'فیلمش-رو-دیدم', 'گریه', 'favorites', '2006', 'award-various', 'bage-young-adult']"
Looking for Alaska,2005,221,1688191,3.96,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'and-so-this-is-grad-school', 'pretty-girls-make-graves', 'welcome-author', 'liburry-book', 'read-2015', 'the-trolls-will-come', '2010', 'favorites', 'romance', 'books-i-would-blurb', '12s-13s', '12s-13s-contemporary-realistic', 'mature', 'adapted', 'almost-fav', 'young-adult', 'owned', 'e-books', 'favs', 'a-failed-romance', 'because-rich-people', 'because-shock-value', '1-star', 'contemporary', 'nope', 'beautiful-writing', 'books-i-own', 'ya-ya-land', 'disappointing', 'borrowed', 'ya', 'a-young-adult-fiction', 'all-time-favourites', 'ge-ya-contemporary', 'kids-and-young-adult', '4-to-5-stars', 'age-mature-young-adult', 'buddy-reads', '2014', 'romance', 'ya', 'young-adult']"
Never Let Me Go,2005,288,776778,3.85,"['Fiction', 'Science Fiction', 'Dystopia', 'Contemporary', 'Literary Fiction', 'Romance', 'Classics', 'adult', 'adult-lit', 'classic-lit', '1001', '2010', 'contemporary', 'literature', 'science-fiction', 'the-list', 'ugh', 'read-in-2007', 'favorites', '2008', 'alternate-history', 'book-club', 'ishiguro', 'read-2011', 'reviews', '2-stars', 'authors-of-color', 'eh', 'booker-prize', 'books-i-own', 'classics', 'british-authors', 'dystopian', 'science-fiction', '1001', 'british', 'favorites', '2-star-reads', 'contemporary-lit', 'sci-fi', 'fiction', 'novel', 'romance', 'bookclub', 'abandoned', 'contemporary-fantasy', 'don-t-feel-u-have-to-like-it', 'fiction', 'in-my-home-library', 'fantasy-horror-scifi', 'fiction', 'novel', 'medicine', 'status-borrowed', 'all-time-favorites', 'japanese-literature', 'bildungsroman', 'dystopian-apocalyptic', 'film-good-or-better-than-book', 'cover-love', 'feel-this', 'on-screen', 'favorites', 'owned']"
The Guernsey Literary and Potato Peel Pie Society,2008,291,782929,4.19,"['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'World War II', 'Audiobook', 'Book Club', 'in-goodreaders-we-trust', 'reviews', '2008', 'fiction', 'historical-fiction', '2-stars', 'eh', 'historical', 'audio', 'hoopla-libby', '2018', 'historical-fiction', 'predictable', 'audiobooks', 'favorites', 'historical-fiction', 'wwii', '2008', 'general-fiction', 'i-reviewed-this-bad-boy', '2011', '2016', 'books-about-books', 'favorites', '2022-reads', 'books-about-books', 'cold-war', 'british', 'favorites', 'pdf', 'أجمل-ما-قرأت', 'أدب-مترجم', 'read-authors-q-t', 'beautiful', 'book-discussion-perfect', 'captivating', 'boy-i-luv-u', 'epistolary', 'glorious-friendship', 'fiction', 'historical-fiction', 'paperback', 'book-reading-libraries', 'my-books', 'pdf', 'historical-fiction']"
"Eat, Pray, Love",2006,368,1800963,3.64,"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Romance', 'Chick Lit', 'Spirituality', '2008', 'non-fiction', 'book-club', 'essays-and-autobiographies', 'tripe', 'biography', 'food-lovers', 'favorites', 'memoir', 'أنا-أنثي-أنا-فراشة', '2008', 'italy', 'made-into-movie', 'favourites', '2009', 'non-fiction', 'failed-to-engage-me', 'get-over-yourself', 'gimmick-alert']"
The Name of the Wind,2007,662,1027564,4.52,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Science Fiction Fantasy', 'best-sellers-that-suck', 'did-not-finish', 'fantasy', 'favorites', 'masterpieces', '2008', 'fantasy', 'favourite', '2012', 'book-club', 'fantasy', 'academia', 'audiobook', 'fae', 'favourites', 'sf-fantasy-general', 'shelf-of-shame', 'fantasy-all', 'favorites', 'own', 'fantasy', 'sword-and-sorcery', 'fantasy-series', 'favorites', '5-star-reads', 'fantasy', 'love-and-romance', 'favorites-2017', '3-stars', 'eh', 'fantasy', '2010', 'audiobooks', 'here-there-be-dragons', 'didn-t_finish', 'fantasy', '2022', 'adult-fantasy', '2009', 'fantasy_scifi_adult', 'loved-it', 'top-10-books', '2019', 'completist-book-club', 'fantasy']"
The Thirteenth Tale,2006,406,320635,3.98,"['Fiction', 'Mystery', 'Historical Fiction', 'Gothic', 'Books About Books', 'Fantasy', 'Adult', 'neo-victorian', '2014', 'mystery-thriller', 'book-club', 'historical-mistery', 'mystery', 'own', 'fantasy', 'historical-fiction', 'magical-realism', 'favorites', 'recommended', 'top-30', '2008-misses', 'mysteriousness', 'ghost-horror-supernatural', 'kindle', 'mystery-crime', 'gothic', 're-read', '2007', '2021', 'general-fiction', 'goodreads-made-me-do-it', 'gothic', 'mystery', '2013', 'debut', 'favs-recent', 'audio-book', 'favorites', 'gothic-suspense', 'biblioteka', 'fiction', 'read-2017', 'reading-with-vessey', 'british-author', 'british-novels', 'drama']"
Bel Canto,2001,318,303742,3.94,"['Fiction', 'Contemporary', 'Literary Fiction', 'Historical Fiction', 'Audiobook', 'Book Club', 'Music', 'based-on-true-story', 'historical-fiction', 'psychology', 'favorites', 'under-two-stars-books', 'abandoned', 'disappointments', 'favorite-authors', 'english', 'own', 'danielle-recommends', 'fiction', 'my-favorites', 'audiobooks', 'favorites', 'gorgeous-prose', 'delicate-as-poetry', 'favorites', 'magic-realism', 'book-discussion-perfect', 'captivating', 'compelling', '2021', 'great-until-the-end', 'fiction', '1-star', 'contemporary', 'gr-friend-recommendations', 'abandoned', '2019', 'audiobook', 'female-author', 'fiction', 'pen-faulkner-award-for-fiction', 'recommended', 'contemporary', 'on-screen', 'reviewed', '2009', 'better-than-chick-lit']"
The Amazing Adventures of Kavalier & Clay,2000,639,207797,4.18,"['Fiction', 'Historical Fiction', 'Novels', 'Literary Fiction', 'Literature', 'Historical', 'Contemporary', 'here-is-new-york', 'novels', '21st-century', 'art-and-artists', 'contemporary-american-fiction', '2012-reread', 'comics', 'modern-lit', '21st-century', 'fiction', 'wits-and-fools', 'american-21st-c', 'fiction', 'novels', 'big-tomes', 'historical-fiction', 'pulitzer-prize-for-fiction', 'don-t-understand-the-fuss', 'novels-novellas', 'book-i-own', 'contemporary-literary', 'pulitzers', 'collection', '2000-09', '2020', '3-star', 'fiction-1950-and-after', 'united-states', 'z_2012-read', 'set-in-the-us', '2022', 'family', 'favorites', 'historical-fiction', '2013', 'general-fiction', 'library', 'favorites', 'guardian-1000', 'pulitzer-winners', '2018', 'modern', 'usa', '2016-shelf', 'traditional-fiction', 'aa', 'favourites-adult', 'fiction', '21st-century-a-literary-odyssey', 'born-in-the-usa', 'it-felt-like-torture', 'silver-keys']"
The Devil in the White City,2003,496,724113,4.0,"['Nonfiction', 'History', 'True Crime', 'Crime', 'Historical', 'Mystery', 'Audiobook', 'history-nonfiction', '2012', 'for-kindle', 'reviewed', 'did-not-finish', 'non-fiction', 'chicago', 'historical-novel', 'serial-murder', 'american-history', 'got-rid-of', 'horror', 'nonfiction', '2017-reads', 'group-reads', 'mariah-makes-the-world-better', 'reviewed', 'recent', 'favorites', 'favorites', 'history', 'non-fiction', 'all-time-favorite', 'historical-fiction', 'takes-place-in-the-midwest', 'american-history', 'brain-candy', 'nonfiction', 'three-stars-books', 'best-non-fiction', 'november-2018', 'true-crime', 'nonfiction-history', 'owned', 'great', 'non-fiction', 'pretty-good', 'biography', 'history', 'true-crime', 'audiobook', '2021', 'history', 'non-fiction']"
Eragon,2002,503,1870123,3.96,"['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy', 'absolute-favorites', 'audiobook', 'america', 'fantasy', 'novel', 'i-also-saw-the-film', 'alreadyread', 'self-published-and-indie', 'fae', 'fantasy', 'favorites', 'worst-books', 'audiobooks', 'audio', 'fantasy-all', 'hardback-own', '04-stars', 'mg-sf-fantasy', 'fantasy', '2017', 'br', 'desperado', 'audiobook', 'four-stars', 'read-in-2019', 'fantasy', 'dragons', 'high-fantasy', 'longer-than-necessary']"
